source,item,qty
1846,spinach,5
527,bilberry,2
2883,black-eyed pea,4
373,dragonfruit,3
1305,banana,6
1748,raisin,2
3176,blackcurrant,3
3997,date,2
198,tubers,4
2992,radish,1
530,spaghetti squash,6
3544,navy bean,1
840,pea,6
3024,blackberry,6
6,tabasco pepper,5
2706,radish,1
3857,bilberry,6
2285,pumpkin,1
1469,patty pan,2
1681,dragonfruit,1
4464,blueberry,5
660,cherimoya,1
156,broccoflower,3
3748,azuki bean,3
928,broccoflower,3
782,frisee,6
490,blackcurrant,3
2614,blackberry,3
859,fig,5
3947,damson,3
3347,kale,6
481,apple,3
1418,raisin,1
436,patty pan,6
2748,banana,4
2090,frisee,5
3942,azuki bean,4
3931,avocado,3
2100,kale,3
4508,goji berry,4
1934,kale,4
743,black-eyed pea,6
4056,coconut,3
2968,apricot,2
3311,kale,6
4532,tabasco pepper,2
4101,paprika,6
2500,blackcurrant,5
3135,corn salad,2
2782,damson,4
1248,date,2
4524,radish,3
234,feijoa,4
4014,avocado,4
4925,currant,5
1456,cloudberry,2
4300,bilberry,6
4607,watercress,6
3024,daikon,2
2319,corn salad,2
2333,kale,1
1406,raisin,2
3610,cabbage,5
552,banana,3
410,coconut,3
648,radish,5
4416,azuki bean,6
3956,radish,3
3840,tubers,3
2770,banana,5
310,cloudberry,5
1453,broccoflower,1
1589,banana,5
3068,raisin,2
4098,blackcurrant,2
804,tabasco pepper,4
4382,blackberry,6
2166,radish,3
2011,raisin,6
1269,azuki bean,6
2690,tat soi,4
4301,apricot,5
4076,frisee,6
2075,banana,6
3340,corn salad,3
4395,avocado,2
3868,fig,6
1565,corn salad,6
3635,grapefruit,6
4813,white radish,3
4670,white radish,4
1087,bilberry,1
2590,dragonfruit,1
3919,kale,2
3336,apple,3
4968,patty pan,6
609,cloudberry,4
3238,lentils,3
4600,bilberry,2
3017,date,5
1784,blackberry,5
3177,fig,6
3228,black-eyed pea,1
4390,apple,2
3369,date,2
480,currant,4
3178,cabbage,1
2989,bilberry,6
1170,radish,4
3001,avocado,3
1521,navy bean,3
4446,frisee,6
3691,raisin,1
2340,tubers,5
4414,patty pan,1
100,black-eyed pea,2
532,mung bean,1
1625,tubers,1
3080,dragonfruit,3
1038,blueberry,3
4499,radish,2
3832,black-eyed pea,3
3382,frisee,2
979,black-eyed pea,2
3742,avocado,6
4600,azuki bean,4
2185,currant,2
657,blueberry,4
282,tat soi,3
3900,frisee,3
3183,fig,1
3172,corn salad,2
1671,banana,6
3325,black-eyed pea,5
491,banana,5
1784,cherimoya,3
486,goji berry,3
3854,cherimoya,1
218,cloudberry,1
4776,azuki bean,3
750,currant,5
3524,raisin,3
4372,avocado,3
1109,dragonfruit,4
2241,watercress,2
1599,avocado,2
548,broccoflower,1
2964,tubers,5
1638,patty pan,3
2026,kidney bean,3
2699,blackcurrant,4
1739,cherimoya,6
956,goji berry,3
2576,tabasco pepper,3
2145,spinach,2
1062,patty pan,2
4400,grapefruit,4
280,apricot,1
1811,corn salad,1
831,blackcurrant,6
3492,currant,5
3317,white radish,4
3218,daikon,2
4546,goji berry,2
2979,asparagus,2
3180,blackberry,5
260,cherimoya,1
1606,watercress,4
2037,grapefruit,3
3941,tabasco pepper,3
3222,apple,4
2736,watercress,5
1117,goji berry,2
4380,goji berry,1
3105,apple,2
1870,fig,6
1229,corn salad,1
3012,cherimoya,1
4461,spinach,2
3839,coconut,3
1407,blackberry,5
3368,navy bean,5
1749,watercress,5
953,feijoa,2
2856,azuki bean,5
2135,cherimoya,1
4417,avocado,5
1978,patty pan,1
2435,watercress,4
3060,goji berry,4
4193,currant,3
1567,spaghetti squash,5
2490,black-eyed pea,6
3304,patty pan,2
1002,raisin,5
4048,corn,6
4924,white radish,2
4929,blackcurrant,2
289,patty pan,3
524,tubers,5
4674,navy bean,1
1782,blackcurrant,5
3951,lentils,5
3825,lentils,1
1031,navy bean,5
4796,celery,6
1543,apricot,6
2252,goji berry,3
866,raisin,6
894,spaghetti squash,6
3039,date,1
3809,radish,3
898,black-eyed pea,4
2318,watercress,5
2314,date,5
3662,spinach,5
4329,raisin,3
1137,broccoflower,6
4989,white radish,4
1832,watercress,1
3495,jerusalem artichoke,2
4699,daikon,3
2919,tubers,3
236,marjoram,4
943,blackberry,1
4526,fiddlehead,2
4574,navy bean,5
53,marjoram,4
3067,apple,2
3666,daikon,4
4223,habanero,2
4370,cloudberry,6
809,cloudberry,3
3629,raisin,3
1472,avocado,3
4675,cloudberry,5
1153,spaghetti squash,2
1343,tubers,5
539,kale,6
1248,dragonfruit,2
888,currant,6
2287,daikon,6
117,watercress,4
1235,broccoflower,4
1060,goji berry,3
1246,banana,1
2263,scallion,3
3285,kohlrabi,4
1322,lentils,4
1017,dragonfruit,2
4629,grapefruit,3
3164,blueberry,4
1793,feijoa,1
2604,currant,2
642,kale,6
3032,cherimoya,6
2090,lentils,2
1786,raisin,1
3325,blackberry,4
1515,cherry,4
3969,apple,5
3816,navy bean,1
3832,azuki bean,6
4362,corn salad,4
2830,dragonfruit,4
3385,black-eyed pea,3
4444,dragonfruit,2
1389,cabbage,4
140,banana,3
1484,broccoflower,2
2585,apple,6
4321,tubers,4
3237,azuki bean,6
523,coconut,6
912,navy bean,5
4403,broccoflower,5
1272,fig,5
3147,fig,1
1680,cloudberry,6
1909,avocado,1
1334,bilberry,3
145,navy bean,5
2871,tat soi,1
4831,blueberry,6
1266,watercress,5
1889,spinach,4
428,coconut,5
4630,bilberry,6
4575,spinach,4
1917,raisin,4
550,tabasco pepper,2
4725,black-eyed pea,6
1649,blackcurrant,2
3154,watercress,3
1204,azuki bean,4
1611,tabasco pepper,2
2095,radish,3
1962,apricot,3
4155,damson,3
2516,tubers,3
1048,tubers,4
416,blueberry,2
2362,black-eyed pea,4
1974,goji berry,3
1555,banana,3
3704,raisin,4
117,corn salad,6
2109,cabbage,6
850,white radish,1
3422,raisin,3
2534,coconut,3
1173,cabbage,5
4188,coconut,4
4360,spaghetti squash,1
859,apple,5
4485,avocado,2
4551,blackberry,4
1973,tat soi,3
4176,navy bean,3
231,damson,2
243,apple,4
4675,lentils,3
1881,white radish,4
1543,daikon,2
3737,patty pan,1
4801,cabbage,6
2278,daikon,5
4922,cloudberry,3
4893,spaghetti squash,5
1707,raisin,4
4061,banana,3
4250,feijoa,2
3701,feijoa,3
4027,blackberry,2
3233,blueberry,3
4069,dragonfruit,4
4643,watercress,1
3986,goji berry,3
4807,goji berry,6
4235,white radish,2
1217,broccoflower,1
1294,dragonfruit,2
3761,navy bean,5
2694,dragonfruit,3
3939,lentils,5
4430,marjoram,4
2508,marjoram,4
3706,patty pan,1
1744,feijoa,1
361,raisin,4
1197,kale,6
623,tubers,6
1887,kale,3
4477,coconut,3
1186,sage,5
1047,cabbage,4
4974,spinach,5
2139,date,2
1901,kale,1
1286,dragonfruit,5
61,blueberry,5
247,banana,5
977,lentils,3
2099,coconut,5
4984,cloudberry,2
4477,dragonfruit,4
4373,lentils,6
2657,avocado,6
1176,broccoflower,1
690,blueberry,4
428,azuki bean,2
3611,avocado,6
165,cucumber,1
3791,corn salad,1
718,cherimoya,3
145,frisee,1
1797,azuki bean,4
4306,apple,4
2751,currant,3
4097,cloudberry,5
104,tat soi,3
1765,daikon,2
1152,dragonfruit,2
1244,lentils,3
2844,frisee,1
630,coconut,1
1232,grapefruit,5
4634,currant,3
1378,kale,4
1981,navy bean,6
3825,damson,4
2057,radish,3
697,broccoflower,1
3718,cabbage,5
3610,black-eyed pea,4
2412,frisee,4
918,tat soi,5
87,white radish,4
2027,black-eyed pea,3
915,broccoflower,6
4951,damson,2
3248,damson,1
1097,black bean,6
1684,watercress,3
4721,marjoram,6
4986,date,6
1332,tubers,4
512,lentils,3
4173,daikon,3
4043,dragonfruit,2
4440,cabbage,6
1310,black-eyed pea,1
1368,pea,5
490,damson,5
4202,kale,6
2132,kale,3
3317,tabasco pepper,4
4760,grapefruit,2
1773,runner bean,1
4524,azuki bean,3
3383,spaghetti squash,3
3676,currant,5
2096,bilberry,2
3817,kale,1
499,lentils,6
4250,watercress,3
4399,kale,2
3276,patty pan,3
76,leek ,1
1098,marjoram,2
3168,currant,4
414,blackberry,6
2422,black-eyed pea,1
3271,spaghetti squash,4
2960,azuki bean,6
1487,kale,5
1635,tat soi,1
369,apricot,3
4754,cherimoya,1
194,banana,6
3498,watercress,2
2803,marjoram,1
4829,watercress,3
3439,cloudberry,4
132,spaghetti squash,6
4984,frisee,3
4934,tat soi,2
481,daikon,5
653,tabasco pepper,3
65,white radish,4
4053,white radish,3
4337,avocado,4
4218,avocado,3
4444,spaghetti squash,3
4200,azuki bean,6
4360,marjoram,4
71,feijoa,3
4118,azuki bean,1
1969,grapefruit,1
3078,broccoflower,5
2958,raisin,6
1215,calabrese,3
1044,navy bean,1
3083,currant,1
1072,apple,6
4052,blackcurrant,6
1246,navy bean,2
2300,dragonfruit,3
4864,marjoram,1
2902,corn,4
4508,broccoflower,1
2678,navy bean,3
2780,watercress,2
2617,apple,2
1512,white radish,3
2651,dragonfruit,2
4939,banana,2
2388,spaghetti squash,3
27,apricot,4
3,apricot,5
2874,tabasco pepper,4
3913,black-eyed pea,3
2408,currant,3
4814,raisin,1
4818,coconut,3
1136,apricot,4
2034,blackcurrant,2
4549,blueberry,3
382,broccoflower,2
2441,navy bean,2
211,azuki bean,3
3786,tabasco pepper,3
38,damson,6
4912,pumpkin,5
2648,grapefruit,3
1014,fig,2
4941,cloudberry,1
4971,frisee,6
90,raisin,1
3232,date,3
2122,patty pan,6
4149,grapefruit,1
1618,broccoflower,6
3210,spaghetti squash,1
1875,corn salad,1
4810,apricot,2
4006,feijoa,6
4187,fig,5
2035,goji berry,5
2367,fig,2
4444,daikon,2
3845,blackberry,5
3747,lentils,5
2250,nopale,6
3273,date,3
1778,cherimoya,6
190,frisee,6
1422,spinach,4
211,spaghetti squash,4
304,nopale,6
4866,blueberry,4
61,blackcurrant,6
3619,kale,3
4680,dragonfruit,2
4366,lentils,1
3322,cloudberry,6
4901,marjoram,6
2126,coconut,2
934,blackberry,1
929,blueberry,5
4556,watercress,2
3644,coconut,1
1557,cloudberry,4
4432,currant,3
2579,arugula,1
1810,broccoflower,2
4884,cloudberry,6
725,kale,1
1526,apple,2
3669,broccoflower,6
1580,lentils,1
3555,apricot,6
4972,damson,2
3373,tat soi,1
3900,white radish,3
1583,apricot,3
275,damson,6
3950,cherimoya,1
4940,date,3
4341,avocado,1
2890,feijoa,1
469,azuki bean,3
4462,marjoram,5
1135,damson,6
1292,cabbage,4
1336,coconut,6
2569,currant,2
3426,azuki bean,3
3820,corn salad,2
141,patty pan,1
4163,date,2
3763,cabbage,3
1334,watercress,3
1636,damson,2
1147,grapefruit,3
1884,fig,5
3774,watercress,3
2696,spinach,6
4963,cherimoya,5
873,cherimoya,5
2356,raisin,2
1813,apricot,5
257,tat soi,2
4466,dragonfruit,6
1163,grapefruit,1
1878,tabasco pepper,1
1785,damson,1
3805,corn salad,1
1921,taro,1
1681,currant,3
2475,corn salad,2
328,date,1
2929,currant,1
2625,grapefruit,4
1542,watercress,5
408,currant,6
2946,cherimoya,6
1040,broccoflower,3
3461,tat soi,5
390,feijoa,1
4250,feijoa,1
4691,blackberry,2
2412,apple,5
1175,blackberry,5
2702,tabasco pepper,5
4638,kale,1
4384,watercress,4
2613,acorn squash,4
3859,blackcurrant,6
1369,watercress,3
4597,blueberry,6
4091,grapefruit,2
740,lentils,6
466,cloudberry,3
1266,feijoa,4
3302,bilberry,6
4078,goji berry,2
3332,mamey,6
4661,kale,5
4485,feijoa,2
4895,white radish,2
4510,marjoram,6
2923,currant,2
1121,raisin,3
2663,bilberry,4
3492,corn salad,3
4083,feijoa,4
3952,goji berry,5
1462,marjoram,3
424,lentils,5
2043,bilberry,5
425,marjoram,5
132,tat soi,6
1740,frisee,3
4574,kale,3
854,chickpea,4
3591,navy bean,2
3227,currant,6
3493,watercress,3
2969,tat soi,2
423,pea,1
2534,artichoke,1
2958,frisee,1
876,patty pan,3
2096,apricot,3
2211,blueberry,1
2904,banana,2
1582,damson,4
4095,dragonfruit,2
3238,coconut,2
1954,patty pan,6
4975,cabbage,6
781,raisin,3
333,blackcurrant,2
3377,dragonfruit,1
1467,bilberry,1
162,spinach,2
4640,black-eyed pea,5
3461,blackberry,5
1328,spinach,4
1900,watercress,6
2885,kale,6
2136,damson,5
1251,currant,5
2403,lemon grass,4
1377,grapefruit,1
305,radish,5
1577,broccoflower,3
4865,daikon,1
213,rutabaga,1
4387,white radish,2
1988,black-eyed pea,5
2184,dragonfruit,2
1679,patty pan,5
4699,damson,4
930,pea,6
1159,goji berry,5
3790,corn,1
1525,coconut,2
3578,kale,3
767,spaghetti squash,1
727,tabasco pepper,5
393,lentils,3
104,corn salad,5
1811,raisin,5
4207,spinach,4
3511,azuki bean,3
712,bilberry,5
3724,avocado,4
555,dragonfruit,5
4893,grapefruit,1
3707,pea,3
3048,marjoram,1
4890,patty pan,2
1316,grapefruit,2
1010,goji berry,6
3284,fiddlehead,5
158,tat soi,4
3278,kale,1
2195,radish,1
2293,daikon,6
1107,marjoram,2
941,damson,4
1255,watercress,1
1120,coconut,4
2506,spaghetti squash,6
2782,grapefruit,3
490,lentils,2
4297,dragonfruit,4
2686,corn salad,2
951,goji berry,4
1583,kale,1
1334,bean sprout,4
4487,white radish,4
313,marjoram,6
3166,damson,6
4880,watercress,2
3047,apricot,3
1310,cloudberry,1
4695,grapefruit,2
3120,avocado,3
3864,frisee,4
3364,damson,5
2933,apple,3
1397,spinach,2
4375,tubers,3
1730,azuki bean,5
4664,avocado,2
1977,blackcurrant,4
2812,marjoram,3
668,currant,1
195,corn salad,4
1209,lentils,4
1244,blueberry,1
3230,apple,4
1198,tabasco pepper,3
3407,patty pan,6
2491,fennel,3
4262,fig,4
422,raisin,3
2560,corn salad,2
1694,blackberry,3
2603,zucchini,5
577,cabbage,5
1212,cherimoya,2
3837,navy bean,4
820,navy bean,3
4672,currant,2
855,marjoram,6
4478,date,6
805,coconut,2
3319,patty pan,6
4102,goji berry,3
96,apple,1
4264,watercress,6
3136,cabbage,4
480,avocado,3
1627,broccoflower,3
176,apple,2
4529,raisin,1
1974,daikon,3
3411,bilberry,6
2012,white radish,4
2202,blackcurrant,6
2597,daikon,1
3534,azuki bean,6
2267,navy bean,5
1151,bilberry,5
553,frisee,3
4200,watercress,1
3414,legume,3
4330,apricot,2
2600,date,3
642,cilantro,6
2632,watercress,1
3724,damson,2
2621,bilberry,3
1689,dragonfruit,2
2266,cloudberry,2
3030,goji berry,5
1386,banana,3
1176,grapefruit,2
2967,daikon,2
3744,tubers,5
1813,elderberry,5
3458,spinach,5
4311,avocado,3
4379,date,5
1649,damson,5
2525,spaghetti squash,1
271,tat soi,4
4772,tat soi,3
4308,cloudberry,5
4883,radish,2
1930,avocado,2
2991,lentils,3
3922,avocado,2
3720,grapefruit,4
1701,bilberry,3
3194,tubers,2
3178,goji berry,3
477,apple,6
4167,dragonfruit,1
3479,fig,2
1665,banana,2
1870,cabbage,4
2311,grapefruit,4
1951,lentils,5
3089,fig,2
4316,cloudberry,2
4331,blueberry,4
2835,cloudberry,6
3626,raisin,1
658,tabasco pepper,2
183,watercress,1
406,radish,2
876,radish,6
3505,tat soi,5
3711,spinach,6
3385,date,5
4313,cherry,5
735,azuki bean,5
1442,tabasco pepper,4
1453,broccoflower,2
4879,kale,6
4031,grapefruit,1
4506,radish,3
2188,frisee,1
921,broccoflower,2
4085,spaghetti squash,4
3687,goji berry,5
244,daikon,1
876,date,3
3325,tubers,3
3363,banana,5
3205,black-eyed pea,3
2470,cabbage,6
448,goji berry,4
2718,spaghetti squash,3
2780,feijoa,2
1859,radish,3
265,patty pan,3
4828,corn salad,3
334,frisee,6
1132,blueberry,1
851,tabasco pepper,6
1037,date,2
2664,broccoflower,3
253,date,1
903,lentils,5
2006,feijoa,5
3662,grapefruit,1
2382,cherimoya,1
1446,broccoflower,5
1347,coconut,6
1360,tubers,3
3306,currant,3
4717,watercress,3
4266,black-eyed pea,3
2160,azuki bean,3
3145,cherimoya,4
3448,dragonfruit,2
3154,frisee,4
3079,apple,1
4249,grapefruit,6
3609,grapefruit,2
2245,navy bean,5
3197,apricot,5
2093,apricot,3
3131,tabasco pepper,4
129,cloudberry,1
326,banana,6
792,white radish,6
4116,tat soi,2
832,blackberry,4
3723,goji berry,1
3029,apple,6
827,black-eyed pea,3
2535,cherimoya,6
1223,bilberry,1
132,apricot,1
3580,lentils,5
2182,goji berry,3
533,apricot,3
1695,watercress,1
1651,apricot,2
206,coconut,6
2175,currant,1
2801,blackberry,4
2438,cabbage,2
164,feijoa,6
1387,currant,3
536,feijoa,1
3306,dragonfruit,5
2524,tabasco pepper,4
2589,kale,4
31,patty pan,5
2795,frisee,3
1812,lentils,1
4859,banana,6
4958,black-eyed pea,4
898,fig,2
1920,raisin,5
766,tabasco pepper,1
3872,watercress,1
1082,lentils,1
4369,broad beans,6
275,avocado,4
2042,tubers,6
3603,damson,4
4875,black-eyed pea,6
3636,blackcurrant,6
3161,spinach,5
1747,lentils,4
2536,goji berry,6
3209,fig,5
4418,cherimoya,1
435,dragonfruit,1
1616,kale,1
510,spaghetti squash,1
2319,navy bean,3
2985,blueberry,6
2185,blackcurrant,3
1520,broccoflower,6
3096,black-eyed pea,1
3267,coconut,1
1364,kale,3
1315,white radish,6
4213,patty pan,1
708,azuki bean,6
3532,rosemary,4
2529,grapefruit,6
4906,blueberry,4
3545,raisin,6
2228,coconut,5
892,mamey,6
3945,grapefruit,6
3762,currant,3
3483,tabasco pepper,6
1674,blackberry,3
31,daikon,5
39,basil,4
1833,kale,2
1749,black-eyed pea,2
3171,apple,1
3727,apple,3
3753,watercress,6
2201,apricot,3
602,cherimoya,2
299,avocado,2
1636,daikon,4
1414,frisee,4
1694,apple,1
1593,date,4
2210,radish,5
2850,broccoflower,5
3876,currant,6
1992,spaghetti squash,6
3616,coconut,3
1096,grapefruit,2
315,tabasco pepper,4
1234,navy bean,4
1112,tubers,5
4865,blackcurrant,4
3916,tabasco pepper,2
994,radish,2
3060,navy bean,1
1916,azuki bean,4
1439,blackcurrant,4
2448,cherimoya,2
3331,cloudberry,5
4518,navy bean,5
2084,azuki bean,6
3103,blackcurrant,3
728,raisin,6
3617,marjoram,3
4999,tubers,2
4300,damson,6
4723,cabbage,5
2078,marjoram,5
3218,radish,1
4049,damson,1
1407,tabasco pepper,5
3506,cabbage,2
4952,avocado,5
4918,cloudberry,4
4540,raisin,5
4831,blackberry,4
3589,coconut,4
351,banana,3
4452,navy bean,2
4316,damson,3
2995,lentils,3
3030,grapefruit,3
4576,tat soi,4
3784,white radish,5
2312,navy bean,6
3754,tubers,3
4036,water chestnut,4
452,daikon,5
3419,azuki bean,4
4947,black-eyed pea,1
1311,white radish,6
2534,navy bean,4
3080,white radish,2
1057,cabbage,1
1984,lentils,3
4119,white radish,6
2372,elderberry,3
1865,frisee,1
4394,tat soi,4
4800,patty pan,4
2318,blackcurrant,6
1570,watercress,3
3328,raisin,1
1561,cherimoya,5
4869,daikon,1
329,cherimoya,4
1632,marjoram,3
3749,squash,5
243,fig,4
110,daikon,5
447,frisee,2
3481,banana,4
3044,grapefruit,6
255,azuki bean,5
2593,cherimoya,6
1242,dragonfruit,3
4771,watercress,6
1216,broccoflower,3
4365,watercress,6
133,date,4
1198,broccoflower,4
2094,radish,5
223,kohlrabi,5
3752,goji berry,5
3657,broccoflower,1
1461,dragonfruit,2
1341,onion,3
4443,avocado,5
3722,azuki bean,2
3554,black-eyed pea,4
1808,blackcurrant,6
2850,navy bean,5
2728,broccoflower,3
